variable,label,value_labels,type
PROOSTAF,Proportion of other non-teaching staff,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SCHSIZE,School size (Sum),99999995 = Valid Skip; 99999997 = Not Applicable; 99999998 = Invalid; 99999999 = No Response,"haven_labelled, vctrs_vctr, double"
SCHLTYPE,School type,1 = Private independent; 2 = Private Government-dependent; 3 = Public; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double"
PRIVATESCH,"School type derived from sampling information; values = public, private, missing",NA,character
STRATIO,Student-teacher ratio,995 = Valid Skip; 997 = Not Applicable; 998 = Invalid; 999 = No Response,"haven_labelled, vctrs_vctr, double"
SMRATIO,Student-mathematics teacher ratio,995 = Valid Skip; 997 = Not Applicable; 998 = Invalid; 999 = No Response,"haven_labelled, vctrs_vctr, double"
TOTMATH,Total number of mathematics teachers at school (Sum),99995 = Valid Skip; 99997 = Not Applicable; 99998 = Invalid; 99999 = No Response,"haven_labelled, vctrs_vctr, double"
TOTSTAFF,Total number of non-teaching staff at school,99995 = Valid Skip; 99997 = Not Applicable; 99998 = Invalid; 99999 = No Response,"haven_labelled, vctrs_vctr, double"
TOTAT,Total number of all teachers at school (Sum),99995 = Valid Skip; 99997 = Not Applicable; 99998 = Invalid; 99999 = No Response,"haven_labelled, vctrs_vctr, double"
SCHSEL,School selectivity,1 = the two factors were never considered; 2 = at least one factor was considered sometimes but neither always; 3 = at least one factor was considered always; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double"
SRESPCUR,School responsibility for curriculum,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SRESPRES,School responsibility for resources,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
ABGMATH,Ability grouping for mathematics classes,1 = No ability grouping for any classes; 2 = At least one form of ability grouping in some classes; 3 = At least one form of ability grouping in all classes; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double"
CLSIZE,Class size (test language class),13 = 15 students or fewer; 18 = 16-20 students; 23 = 21-25 students; 28 = 26-30 students; 33 = 31-35 students; 38 = 36-40 students; 43 = 41-45 students; 48 = 46-50 students; 53 = More than 50 students; 95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
MCLSIZE,Math class size,13 = 15 students or fewer; 18 = 16-20 students; 23 = 21-25 students; 28 = 26-30 students; 33 = 31-35 students; 38 = 36-40 students; 43 = 41-45 students; 48 = 46-50 students; 53 = More than 50 students; 95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROATCE,Proportion of all teachers fully certified,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROPAT6,Proportion of all teachers with at least ISCED level 6 Bachelor qualification,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROPAT7,Proportion of all teachers with at least ISCED level 7 Master qualification,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROPAT8,Proportion of all teachers with ISCED level 8 Doctoral qualification,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROPMATH,Proportion of mathematics teachers at school,95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SCSUPRTED,School Closure Support from Education Authorities,0 = No support from education authorities; 1 = Some support from education authorities; 2 = A lot of support from education authorities; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double"
SCSUPRT,School Closure Support from Other Sources,0 = No support from other resources; 1 = Some support from other resources; 2 = A lot of support from other resources; 5 = Valid Skip; 7 = Not Applicable; 8 = Invalid; 9 = No Response,"haven_labelled, vctrs_vctr, double"
NEGSCLIM,Negative school climate (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
DMCVIEWS,School diversity and multi-cultural views (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
STUBEHA,Student-related factors affecting school climate (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
TEACHBEHA,Teacher-related factors affecting school climate (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
ALLACTIV,Extra-curricular activities offered (all) (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
EDUSHORT,Shortage of educational material (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
STAFFSHORT,Shortage of educational staff (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
EDULEAD,Educational leadership (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
INSTLEAD,Instructional leadership (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SCHAUTO,School autonomy (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
TCHPART,Teacher participation (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
DIGDVPOL,Digital device policies at school (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
MTTRAIN,Mathematics teacher training (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
TEAFDBK,Feedback to teachers (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
STDTEST,Use of standardized tests (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
TDTEST,Use of teacher-developed tests (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
ENCOURPG,School encouragement of parent or guardian involvement (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
BCREATSC,Beliefs about creativity (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
ACTCRESC,Creative school activities offered (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
CREENVSC,Creative school environment (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
OPENCUL,Openness culture/climate (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
PROBSCRI,Problems with Schools’ Capacity to Provide Remote Instruction (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SCPREPBP,"School Preparation for Remote Instruction, Before Pandemic (WLE)",95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
SCPREPAP,"School Preparation for Remote Instruction, In Response to Pandemic (WLE)",95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
DIGPREP,Preparedness for Digital Learning (WLE),95 = Valid Skip; 97 = Not Applicable; 98 = Invalid; 99 = No Response,"haven_labelled, vctrs_vctr, double"
